Date,Sugar consumption,Morning sunlight,Afternoon nap,Food before bed,Night time caffeine consumption,Social media usage before bed,Exercise
2025-03-12,1,1,1,0,0,1,0
2025-03-13,0,1,1,0,1,0,0
2025-03-14,1,0,0,1,0,0,0
2025-03-15,1,1,-1,0,0,0,1
2025-03-16,1,1,1,0,0,0,0
2025-03-17,1,-1,1,0,0,-1,0
2025-03-18,1,1,1,0,0,0,0
2025-03-19,1,0,0,1,0,-1,0
2025-03-31,1,0,1,1,0,0,0
2025-04-01,1,0,1,1,0,1,0
2025-04-04,1,1,1,0,0,0,0
2025-04-05,1,0,1,0,0,1,0
2025-04-06,1,1,-1,0,0,1,0
2025-04-07,1,0,1,0,0,0,0
2025-04-08,1,1,1,0,0,1,1
2025-04-11,1,1,1,-1,0,0,0
2025-04-12,1,0,0,-1,0,0,0
2025-04-13,1,-1,0,0,0,0,0
2025-04-14,1,1,-1,0,0,0,0
2025-04-15,0,1,-1,1,0,0,1
2025-04-16,0,1,0,0,0,0,0
2025-04-17,0,1,1,-1,0,-1,0
2025-04-20,0,0,0,0,0,0,0
2025-04-21,1,1,1,0,0,0,0
2025-04-22,1,0,1,0,0,-1,0
